phase (rad),digAmp
-0.63087388141186351,0.29999999999999999
1.2399300741958463,0.31
-0.11777996397803937,0.32000000000000001
-1.4106373181545522,0.33000000000000002
0.28885235430323425,0.34000000000000002
-0.92233163717340683,0.34999999999999998
1.0637959131334216,0.35999999999999999
0.005434003406495351,0.37
-0.87382300348938347,0.38
1.4766343697791284,0.39000000000000001
0.59664294204794355,0.40000000000000002
-0.082611262517038903,0.40999999999999998
-0.68245241806611501,0.41999999999999998
-1.2265303230966975,0.42999999999999999
1.5024408098021165,0.44
1.2250337243788501,0.45000000000000001
1.1008335380710388,0.46000000000000002
1.122329792755022,0.46999999999999997
1.2435982481423096,0.47999999999999998
1.4153844051200561,0.48999999999999999
-1.5333634282621169,0.5
-1.3395627880999152,0.51000000000000001
-1.1464260646480631,0.52000000000000002
-0.95066987016629112,0.53000000000000003
-0.74862815554675011,0.54000000000000004
-0.55302784751641854,0.55000000000000004
-0.37759784865221713,0.56000000000000005
-0.21885774673049671,0.56999999999999995
-0.0694399142786849,0.57999999999999996
0.073864957032265338,0.58999999999999997
