real,imag,digAmp
0.0041379608571428571,-0.0030225901714285713,0.29999999999999999
-0.0024831330857142853,-0.007229063771428572,0.31
-0.018824090285714284,0.002227409845714286,0.32000000000000001
-0.0073258787428571431,0.045349512000000002,0.33000000000000002
0.074433942285714302,0.022119041142857142,0.34000000000000002
0.064868429714285719,-0.085602724571428562,0.34999999999999998
-0.059342952571428582,-0.10684200000000001,0.35999999999999999
-0.15088394285714288,-0.00081991192971428569,0.37
-0.10577429257142858,0.12635385142857142,0.38
0.017923900862857139,0.18978891428571429,0.39000000000000001
0.17466238857142857,0.11863414857142857,0.40000000000000002
0.24397888000000001,-0.020201379811428569,0.40999999999999998
0.18447605142857146,-0.1499284057142857,0.41999999999999998
0.081708382285714296,-0.22788943428571429,0.42999999999999999
-0.016372417657142854,-0.23914543428571428,0.44
-0.077579560571428577,-0.21535887428571429,0.45000000000000001
-0.10162443314285713,-0.20007996571428568,0.46000000000000002
-0.097673533714285721,-0.20299377142857145,0.46999999999999997
-0.074123871428571422,-0.21839858857142855,0.47999999999999998
-0.037067173142857145,-0.23658587428571431,0.48999999999999999
0.0092486761142857119,-0.24695805714285712,0.5
0.057121332571428575,-0.24261018857142858,0.51000000000000001
0.10151165885714286,-0.22467048000000003,0.52000000000000002
0.14129234285714287,-0.19786074285714284,0.53000000000000003
0.17853604571428572,-0.16586664571428569,0.54000000000000004
0.21224740571428574,-0.13101586285714284,0.55000000000000004
0.24082367999999998,-0.095517900571428574,0.56000000000000005
0.2606116514285714,-0.057965335999999992,0.56999999999999995
0.26794254285714292,-0.018635870285714284,0.57999999999999996
0.26345861714285712,0.019495828959999999,0.58999999999999997
